Trend;Year;Month;QAlaska;QHaddock;QCod;XAlaska;XHaddock;XCod
1;2008;1;3004;4785;10104;4442;13089;40062
2;2008;2;2431;5989;8389;3972;15722;34276
3;2008;3;3115;8095;10445;3385;21637;43582
4;2008;4;5137;6636;8526;4852;17541;36606
5;2008;5;6406;6241;8315;4017;15782;34059
6;2008;6;7685;5430;10051;6878;13519;41024
7;2008;7;8525;5160;10364;4895;13149;40377
8;2008;8;2421;5646;9953;4273;14800;39344
9;2008;9;9481;5663;9720;4778;13473;37975
10;2008;10;2497;4693;8494;4885;11119;35086
11;2008;11;2884;5336;7557;6654;13168;30223
12;2008;12;2221;4471;7591;4949;10774;29207
13;2009;1;2607;4521;7174;5721;10496;28116
14;2009;2;2279;5595;13599;5625;13567;29702
15;2009;3;847;6879;8570;2348;16946;31803
16;2009;4;1946;6404;9306;4334;15373;33175
17;2009;5;2467;6822;9273;5290;16348;32584
18;2009;6;2170;5550;9029;4350;13229;29717
19;2009;7;2059;5329;7327;3873;13036;24492
20;2009;8;1521;5061;8479;2972;11764;25849
21;2009;9;2053;5550;9494;3702;13830;29998
22;2009;10;2277;5307;9702;4303;13458;33344
23;2009;11;945;5347;7580;1891;13443;26687
24;2009;12;1500;4467;7805;2719;11213;26287
25;2010;1;1435;3743;7125;2953;9215;25072
26;2010;2;1977;4708;8493;3942;11801;30237
27;2010;3;2402;5620;10835;4747;14187;35949
28;2010;4;1221;5079;8804;2691;13315;31846
29;2010;5;1197;6498;10013;2604;16426;35209
30;2010;6;2346;4962;9341;4964;13298;34157
31;2010;7;1976;5360;9082;4131;13286;32881
32;2010;8;1797;5386;8277;3672;14337;29363
33;2010;9;1408;5472;8880;2707;14658;33204
34;2010;10;1848;4688;9338;3692;12402;34569
35;2010;11;1469;5052;7833;2916;13072;29488
36;2010;12;947;3704;6622;1818;10033;23844
37;2011;1;2228;3966;7670;4488;10628;29048
38;2011;2;1880;4945;8912;3769;13207;33078
39;2011;3;1816;5835;9258;3549;15313;34708
40;2011;4;1816;6113;8178;3491;15574;30991
41;2011;5;3564;6262;10869;6918;15726;42271
42;2011;6;2503;4635;9491;4808;12369;34907
43;2011;7;2271;4919;10133;4279;13182;38755
44;2011;8;3333;4232;7209;6364;11735;27556
45;2011;9;2584;5034;7317;4957;14124;29535
46;2011;10;2516;4645;9085;4966;13226;38099
47;2011;11;1833;5302;10290;3463;14716;41767
48;2011;12;2517;3205;7426;4687;9050;32686
49;2012;1;2087;5541;8131;4062;14580;34000
50;2012;2;2552;4167;7483;4864;12708;30485
51;2012;3;1894;5795;12046;3710;15655;45384
52;2012;4;2448;5580;7128;4560;15201;29741
53;2012;5;2883;6702;10427;5269;18065;41411
54;2012;6;2867;4534;8964;5513;12741;35204
55;2012;7;2684;4232;8340;5062;11111;32431
56;2012;8;2945;4681;7451;5769;11901;26882
57;2012;9;2591;4056;8289;5375;10385;31854
58;2012;10;3072;4596;7608;6278;11810;28958
59;2012;11;3508;4864;7317;7013;12026;28594
60;2012;12;2551;5021;7931;4889;12900;29073
61;2013;1;3436;3905;8690;6487;10036;30103
62;2013;2;3179;4632;8595;6340;11698;27675
63;2013;3;1876;5081;13597;4318;13606;43710
64;2013;4;2903;4489;9865;5857;11960;33106
65;2013;5;4143;4767;12243;8834;12652;40010
66;2013;6;3108;4194;10847;6354;11938;37283
67;2013;7;3982;3370;8296;8284;9023;28995
68;2013;8;2984;2769;9040;6224;7705;30324
69;2013;9;2977;3213;9274;6081;9645;34120
70;2013;10;3142;2776;8888;6085;8250;31945
71;2013;11;4597;2782;8911;8643;8444;32460
72;2013;12;3571;2932;8105;7253;9549;30653
73;2014;1;3851;3343;8768;7533;10543;30292
74;2014;2;3342;3312;9271;6458;10347;29629
75;2014;3;2252;3666;12557;4844;10973;42209
76;2014;4;2459;2920;10656;5202;9113;36167
77;2014;5;4725;3350;10495;9552;10150;36747
78;2014;6;3180;2859;9312;6663;8355;31950
79;2014;7;3239;2816;10454;6378;8469;36608
