"Order_ID","Order_Date","Order_Quantity","Sales","Profit","Unit_Price","Customer_Segment","Product_Category","Region"
3,2015-10-13,6,261.54,-213.25,38.94,"Small Business","Office Supplies","Region 8"
483,2016-07-09,30,4965.7595,1198.97,195.99,"Corporate","Technology","Region 8"
515,2015-08-28,19,394.27,30.94,21.78,"Consumer","Office Supplies","Region 8"
515,2015-08-28,21,146.69,4.43,6.64,"Consumer","Furniture","Region 8"
613,2016-06-16,12,93.54,-54.04,7.3,"Corporate","Office Supplies","Region 8"
613,2016-06-16,22,905.08,127.7,42.76,"Corporate","Office Supplies","Region 8"
643,2016-03-23,21,2781.82,-695.26,138.14,"Corporate","Office Supplies","Region 8"
678,2015-02-26,44,228.41,-226.36,4.98,"Home Office","Office Supplies","Region 8"
807,2015-11-23,45,196.85,-166.85,4.28,"Home Office","Office Supplies","Region 8"
807,2015-11-23,32,124.56,-14.33,3.95,"Home Office","Office Supplies","Region 8"
868,2017-06-08,32,716.84,134.72,21.78,"Home Office","Office Supplies","Region 8"
868,2017-06-08,31,1474.33,114.46,47.98,"Home Office","Technology","Region 8"
933,2017-08-04,15,80.61,-4.72,5.28,"Small Business","Office Supplies","Region 8"
998,2014-11-25,16,248.26,93.8,15.74,"Small Business","Office Supplies","Region 8"
1154,2017-02-13,44,4462.23,440.72,100.98,"Home Office","Furniture","Region 8"
1154,2017-02-13,11,663.784,-481.04,71.37,"Home Office","Furniture","Region 8"
1344,2017-04-15,15,834.904,-11.68,65.99,"Corporate","Technology","Region 8"
1344,2017-04-15,18,2480.9205,313.58,155.99,"Corporate","Technology","Region 8"
1412,2015-03-12,13,59.03,26.92,3.69,"Consumer","Office Supplies","Region 8"
1412,2015-03-12,21,97.48,-5.77,4.71,"Consumer","Office Supplies","Region 8"
1539,2016-03-08,33,511.83,-172.88,15.99,"Corporate","Office Supplies","Region 8"
1539,2016-03-08,38,184.99,-144.55,4.89,"Corporate","Technology","Region 8"
1540,2017-08-04,30,80.9,5.76,2.88,"Home Office","Office Supplies","Region 8"
1702,2016-05-05,23,67.24,4.9,2.84,"Home Office","Office Supplies","Region 8"
1761,2015-12-23,25,12028.23,-547.61,449.99,"Corporate","Technology","Region 8"
2275,2017-10-21,49,278,41.67,6.08,"Small Business","Office Supplies","Region 8"
2277,2016-01-01,10,66.54,-46.03,5.98,"Home Office","Technology","Region 8"
2277,2016-01-01,21,845.32,33.67,40.99,"Home Office","Office Supplies","Region 8"
2631,2015-09-23,27,1078.49,252.66,40.96,"Corporate","Technology","Region 8"
2757,2016-07-18,39,3554.46,-1766.01,95.95,"Corporate","Furniture","Region 8"
2791,2014-10-09,47,191.67,-236.27,3.89,"Corporate","Office Supplies","Region 8"
2791,2014-10-09,49,5586.33,80.44,120.98,"Corporate","Furniture","Region 8"
2791,2014-10-09,18,507.64,118.94,30.98,"Corporate","Office Supplies","Region 8"
2976,2015-12-09,30,14223.82,3424.22,500.98,"Consumer","Furniture","Region 8"
3524,2017-05-02,21,427.32,52.35,18.97,"Small Business","Office Supplies","Region 8"
